Restaurant,Nickname,Review,Date,Revisit_Count,Reviewer_Review_Count,Reviewer_Photo_Count
전통맛집 할매순대국 복정점,우마왕16,빠르게 나와서 좋아요,24.8.2.금,5,687,256
전통맛집 할매순대국 복정점,우마왕16,맛있게 잘 먹고 갑니다,24.8.1.목,4,687,256
전통맛집 할매순대국 복정점,우마왕16,"새로생긴 곳이라 방문했어요.
돼지수육국밥을 먹었는데
K 페스트푸드란 이런것이다는 생각이 들정도로
빠르게 나옵니다.
점심이라 자리는 12시부터 빠르게 찹니다.
맛있게 잘 먹고 갑니다.
더보기",24.3.4.월,1,687,256
전통맛집 할매순대국 복정점,우마왕16,비오는날 맛있게 잘 먹고 갑니다,24.4.15.월,3,687,256
전통맛집 할매순대국 복정점,우마왕16,가끔 먹는데 맛있네요.,24.3.25.월,2,687,256
전통맛집 할매순대국 복정점,붓으로 놀다,ㅎ,24.1.23.화,1,1,53
전통맛집 할매순대국 복정점,천우부동산okay,분위기 깔끔하고 맛있어요.,24.3.2.토,1,377,3
전통맛집 할매순대국 복정점,쿠키짱1018,굳,24.3.1.금,1,2,198
전통맛집 할매순대국 복정점,주님의용사51,강추합니다,24.4.20.토,1,1,44
전통맛집 할매순대국 복정점,kd****,맛있어요.,24.1.23.화,1,1,0
전통맛집 할매순대국 복정점,도리도치,굿,24.1.8.월,1,883,7
버거부기,만두보노,"매장에서 맛있게 먹어서 이번엔 포장했어요
가격좋고 버거 구성이 알차요
감자튀김도 넉넉하고
항상 맛있게 먹고있어요

감자튀김 주문했는데 케첩은 같이 안주시나봐요 ~_~
집에 있는 케찹이랑 잘 먹었어요
더보기",4.27.일,2,1,707
버거부기,M종호2,"부기 온앤온 세트 먹었는데
양은 푸짐했어요 중간에 해쉬브라운 끝에 바삭한 식감은 좋았는데 간이 너무 세서 아쉬움이 있었습니다",4.7.월,1,73,424
버거부기,본3917,"빨리 나와서 좋아요! 내슈빌 핫치킨버거 맛있어요!!!
맵지 않아요 맵찔이들도 가능~
다만 핫치킨버거 먹을 때 힘줄? 부분이 좀 질긴 부위가 있는데 그 부위만 먹기 좀 힘들고
전체적으로 훌륭한 맛입니다
더보기",1.18.토,1,1,3
버거부기,byg****,"주문이 밀려서인지 나오는 속도가 느려요.
셋트로 주문 했으니 한번에 같이 나오면 좋겠는데,
음료 나오고 감튀 나오고 햄버거 나옵니다.
같이 먹는걸 좋아하는 저는 이런 시스템은 좀 아쉬운거 같아요.
햄버거의 맛은 기준이 다르니 노코멘트 할게요
더보기",3.15.토,1,60,140
버거부기,박수미8593,"너무 맛있게 잘 먹고 갑니다~
사장님 친절하고 좋아요. 또 올께요!!",5.17.토,1,1,1
버거부기,hshplusyou2,맛잇고 가성비도 좋아요. 화장실도 새건물이어서 그런지 깨끗해요. 강추,4.13.일,1,30,24
버거부기,말랑고영희,"여기 트러플크림수프가 찐이에여,,🤤 진짜 영혼을 위로하는 따뜻한 크림숲흐… 구라같죠? 그치만 한번만 잡숴보시고 오세요,, 후회업슴다~.~
버거도 맛있는 버거부기~🍔🐢 제 최애는 불갈비 머쉬부기인데 넘 맛있어요~~🍖🍄‍🟫 밤에는 불 쫓아서 날벌레가 좀 들어와서 난감했지만 맛이 최고예여~👍",24.9.22.일,2,744,878
버거부기,전자기파,"미국 살이부터 시작된 햄벅 외길 10년. 다시 한국에 돌아왔다. 햄버거에 관해서는 햄벅리애임을 자부한다. 드디어, 제대로된 버거를 찾았다. 이거다. 텍사스 마이티파인버거와 견줄 수 있을 듯.",2.28.금,1,8,2
버거부기,pys****,맛있어요,4.24.목,1,351,295
버거부기,shj****,"진심으로 햄버거 맛있어요
또 갈듯해요",24.10.20.일,1,537,468
버거부기,이찌84,망고쉬림프 햄버거 진짜맛있어요. 소스도 독특하고 새우버거킬러인데. 패티가 미쳤어요!!! 새우살이 통통하니 다진새우가 아니고 새우살그대로 들어가있어서. 진짜 맛집인거같아요,5.17.토,1,1,140
버거부기,도레미파솔라61,넘넘 맛있게 잘 먹었습니다~~ ^^,24.9.14.토,2,831,502
버거부기,말랑고영희,"저의 최애메뉴 불갈비 머쉬부기와 트러플 크림스프..🫶 햄버거 별로 안좋아하는 제가 제일 좋아하는 수제버거 버거부기!!😋👍 주변 방문하시면 꼭 한번 드셔보셔용 진짜 맛있습니당(특히 저 스프가 찐,,👀) 사장님도 엄청 친절하시고 가게 분위기도 좋아용",24.6.21.금,1,744,878
버거부기,Zz잠만보Zz,음식양이 적당하고 수제버거 너무 두꺼우면 먹기 불편한데 여기는 두께도 적당해서 맛있게 잘 먹었습니다. 감자튀김도 맛있게 먹었어요!! 양도 적당히 배부를 정도라 좋았네요!!,24.7.14.일,1,49,162
버거부기,만두보노,"신선한 양상푸, 양파, 토마토가 들어가고
패티 육즙 팡팡
브리오번이 진짜 맛있어요!
맛이 조화로워서 굳굳!!
클래식치즈부기에 치즈추가 & 할리갈릭부기
둘다맛있어요
간만에 맛있는 버거집을 발견해서 기분 좋아요
😍😍👍🏻
더보기",24.6.14.금,1,1,707
버거부기,이차전지,내가진짜 사랑하는 수제버거맛집 ... 송파 잠실에 있는 모 수제버거보다 많이 사랑함 하도 자주오고 단골이다보니 사장님께선 내가 양파 토마토 안먹는거 아신다 ๑>ᴗ<๑ 부기온앤온최고 버거부기최고 ❤🧡💛💚💙💜,24.4.15.월,1,116,276
버거부기,우마왕16,오랜만에 와서 맛있게 잘 먹고 갑니다.,24.9.5.목,10,687,256
버거부기,이차전지,너무맛있고 너무사랑하는 맛집 ... 또왔다 ... 아니 사실 이번이 최소 2n번째 ... 여기아니면 안간다 ... 최고의 대한민국 남바원 수제버거 ... ❤🧡💛💚💙💜,24.5.2.목,2,116,276
버거부기,귀여니24,클래식 치즈부기 맛있어요. 좋아요 ^^,24.8.1.목,1,845,763
버거부기,JinSH,ㅎㅎ,24.10.31.목,1,1,370
버거부기,도레미파솔라61,포장해왔어요~ 어린이가 맛있다고 합니다^^ 또 방문할게요~~,24.8.31.토,1,831,502
버거부기,zhkwlr,"버거부기 가게 이름이 너무 귀여워서 전부터 와보고 싶었는데 드디어 방문했습니다! 미소부기는 베이컨이랑 구운파인애플, 미소소스 조합이 조화로워서 넘 맘에 다음에도 저는 미소부기 먹을 것 같습니다. 구운파인애플 좋아하시면 미소부기 추천합니다!!
그리고 감튀를 바로 튀겨주셔서 감튀가 정말 맛있어요! 감튀도 코코넛 모양 접시에 나오고 햄버거 고정핀도 야자수나무 모양이라 잠깐이지만 휴양지 놀러온 기분도 나고 즐거운 식사였습니다!",24.4.26.금,1,22,39
버거부기,bw0530,"버거부기 4월호 에그부기 먹었습니다!!
4월에만 먹을 수 있다기에 시켰는데 들어가는 재료는 단촐한데 진짜.... 쫀맛이에여.....!!!
계란이 제가 엄청 좋아하는 부들부들 부드러운 계란이라 버거 전체적으로 되게 부드러워요!!
스프랑 하이볼도 추천이에여~
더보기",24.4.8.월,1,11,22
버거부기,내가정해,요즘 수제버거에 빠져서 자주 먹으러 다니는데 여기 정말 맛집이에요👍 고기 패티가 촉촉하고 맛있어요! 분위기도 좋고 저녁에 데이트 하러 오기 딱 좋은 것 같아요!😊 다음엔 데이트 하러... 오고 싶다..,24.4.24.수,1,46,15
버거부기,조밀러,"맘스터치가다가 우연히 발견하고 호기심에 와봤다.
수제버거라 비쌀 줄 알았는 데 합리적인 가격의 메뉴들도 많고 매장 내 여러 이벤트들과 고객편의를 위해 신경쓴 게 느껴진다. 맛까지 있으면 완벽⭐️ 자주 애용해봐야겠다.",24.4.10.수,1,27,22
